timestamped_line
[02:27:15] [02:27:15] 15.261 | 30472 | 31900 | 45 | 24286
[02:27:15] [02:27:15] 15.272 | 28030 | 28566 | 43 | 25247
[02:27:15] [02:27:15] 15.284 | 29823 | 28284 | 45 | 24713
[02:27:15] [02:27:15] 15.296 | 28118 | 31417 | 52 | 25067
[02:27:15] [02:27:15] 15.309 | 28765 | 31396 | 45 | 25626
[02:27:15] [02:27:15] 15.32 | 31174 | 31235 | 44 | 25162
[02:27:15] [02:27:15] 15.333 | 28158 | 29305 | 52 | 25221
[02:27:15] [02:27:15] 15.345 | 30313 | 30665 | 58 | 25308
[02:27:15] [02:27:15] 15.358 | 28839 | 28394 | 48 | 24399
[02:27:15] [02:27:15] 15.369 | 29395 | 31887 | 59 | 25614
[02:27:15] [02:27:15] 15.381 | 30895 | 31024 | 45 | 24690
[02:27:15] [02:27:15] 15.393 | 28799 | 29393 | 43 | 25304
[02:27:15] [02:27:15] 15.406 | 30786 | 31850 | 56 | 25880
[02:27:15] [02:27:15] 15.419 | 30604 | 30160 | 59 | 25551
[02:27:15] [02:27:15] 15.429 | 29486 | 29839 | 53 | 25205
[02:27:15] [02:27:15] 15.442 | 30924 | 31916 | 52 | 24607
[02:27:15] [02:27:15] 15.454 | 30800 | 29476 | 44 | 25470
[02:27:15] [02:27:15] 15.467 | 29555 | 29558 | 43 | 24195
[02:27:15] [02:27:15] 15.479 | 29364 | 30658 | 60 | 25343
[02:27:15] [02:27:15] 15.491 | 31577 | 31713 | 54 | 25561
[02:27:15] [02:27:15] 15.504 | 29277 | 29042 | 57 | 24730
[02:27:15] [02:27:15] 15.516 | 28805 | 29899 | 52 | 25332
[02:27:15] [02:27:15] 15.528 | 31499 | 29081 | 55 | 24536
[02:27:15] [02:27:15] 15.54 | 31197 | 28592 | 52 | 24823
[02:27:15] [02:27:15] 15.551 | 28428 | 28563 | 53 | 25231
[02:27:15] [02:27:15] 15.563 | 28830 | 31386 | 60 | 25637
[02:27:15] [02:27:15] 15.575 | 28331 | 30383 | 41 | 24372
[02:27:15] [02:27:15] 15.586 | 31096 | 29373 | 50 | 25806
[02:27:15] [02:27:15] 15.599 | 31570 | 31524 | 56 | 24275
[02:27:15] [02:27:15] 15.609 | 30590 | 30069 | 55 | 25740
[02:27:15] [02:27:15] 15.622 | 29036 | 28469 | 52 | 25275
[02:27:15] [02:27:15] 15.634 | 31593 | 31988 | 54 | 25914
[02:27:15] [02:27:15] 15.647 | 29749 | 28712 | 43 | 25047
[02:27:15] [02:27:15] 15.659 | 30923 | 28285 | 45 | 25454
[02:27:15] [02:27:15] 15.672 | 30872 | 29283 | 42 | 25320
[02:27:15] [02:27:15] 15.685 | 31250 | 29697 | 54 | 25520
[02:27:15] [02:27:15] 15.697 | 31189 | 29777 | 54 | 25719
