timestamped_line
[02:36:06] [02:36:06] 6.432 | 29412 | 31921 | 58 | 25393
[02:36:06] [02:36:06] 6.445 | 28341 | 29944 | 59 | 25378
[02:36:06] [02:36:06] 6.457 | 29572 | 31511 | 57 | 24620
[02:36:06] [02:36:06] 6.47 | 30712 | 29417 | 47 | 25791
[02:36:06] [02:36:06] 6.483 | 28033 | 28998 | 41 | 24110
[02:36:06] [02:36:06] 6.494 | 28722 | 31241 | 40 | 24546
[02:36:06] [02:36:06] 6.507 | 30078 | 30215 | 47 | 24795
[02:36:06] [02:36:06] 6.519 | 28301 | 31392 | 57 | 25916
[02:36:06] [02:36:06] 6.532 | 29874 | 28662 | 48 | 25553
[02:36:06] [02:36:06] 6.542 | 29344 | 31987 | 42 | 25138
[02:36:06] [02:36:06] 6.554 | 30814 | 29392 | 53 | 24834
[02:36:06] [02:36:06] 6.566 | 30189 | 28275 | 48 | 25987
[02:36:06] [02:36:06] 6.579 | 31078 | 28147 | 57 | 24084
[02:36:06] [02:36:06] 6.589 | 29434 | 30430 | 48 | 25348
[02:36:06] [02:36:06] 6.602 | 31095 | 29865 | 48 | 24827
[02:36:06] [02:36:06] 6.612 | 31028 | 31797 | 55 | 25366
[02:36:06] [02:36:06] 6.623 | 29463 | 31528 | 55 | 24298
[02:36:06] [02:36:06] 6.635 | 28481 | 31275 | 59 | 24656
[02:36:06] [02:36:06] 6.646 | 28656 | 29150 | 50 | 24933
[02:36:06] [02:36:06] 6.659 | 30802 | 31736 | 53 | 24563
[02:36:06] [02:36:06] 6.672 | 28941 | 28415 | 42 | 25890
[02:36:06] [02:36:06] 6.685 | 28563 | 28382 | 42 | 25395
[02:36:06] [02:36:06] 6.698 | 31827 | 29300 | 60 | 25926
[02:36:06] [02:36:06] 6.71 | 28194 | 28400 | 40 | 25127
[02:36:06] [02:36:06] 6.723 | 30007 | 30042 | 40 | 25969
[02:36:06] [02:36:06] 6.736 | 29765 | 28580 | 48 | 25463
[02:36:06] [02:36:06] 6.75 | 29672 | 31334 | 47 | 25684
[02:36:06] [02:36:06] 6.765 | 28482 | 28717 | 41 | 25248
[02:36:06] [02:36:06] 6.777 | 30630 | 31654 | 56 | 24173
[02:36:06] [02:36:06] 6.79 | 31206 | 30055 | 58 | 24598
[02:36:06] [02:36:06] 6.803 | 29385 | 30381 | 60 | 25427
[02:36:06] [02:36:06] 6.815 | 29390 | 29870 | 51 | 25223
[02:36:06] [02:36:06] 6.828 | 29318 | 30282 | 56 | 24288
[02:36:06] [02:36:06] 6.84 | 31179 | 31096 | 45 | 25571
[02:36:06] [02:36:06] 6.852 | 31394 | 29909 | 55 | 24098
[02:36:06] [02:36:06] 6.862 | 31658 | 30032 | 44 | 25173
[02:36:06] [02:36:06] 6.875 | 30426 | 29366 | 52 | 25885
[02:36:06] [02:36:06] 6.887 | 31733 | 28010 | 57 | 24939
[02:36:06] [02:36:06] 6.9 | 29145 | 29997 | 46 | 25965
[02:36:06] [02:36:06] 6.914 | 30653 | 30600 | 49 | 24162
[02:36:06] [02:36:06] 6.925 | 31397 | 28263 | 57 | 24313
[02:36:06] [02:36:06] 6.937 | 30248 | 28110 | 40 | 25030
[02:36:06] [02:36:06] 6.95 | 29052 | 29583 | 51 | 25556
[02:36:06] [02:36:06] 6.963 | 28553 | 30788 | 50 | 25903
[02:36:06] [02:36:06] 6.975 | 28892 | 28651 | 57 | 24510
[02:36:06] [02:36:06] 6.986 | 30310 | 29790 | 47 | 24435
[02:36:06] [02:36:06] 6.999 | 30307 | 28247 | 54 | 25888
[02:36:07] [02:36:07] 7.012 | 28563 | 30876 | 51 | 24420
[02:36:07] [02:36:07] 7.023 | 31758 | 28226 | 55 | 25007
[02:36:07] [02:36:07] 7.036 | 28178 | 31187 | 53 | 24483
[02:36:07] [02:36:07] 7.049 | 29786 | 30556 | 46 | 24980
[02:36:07] [02:36:07] 7.061 | 28197 | 31460 | 46 | 24652
[02:36:07] [02:36:07] 7.074 | 31173 | 29473 | 43 | 24996
[02:36:07] [02:36:07] 7.084 | 31404 | 30575 | 41 | 24227
[02:36:07] [02:36:07] 7.097 | 30892 | 30431 | 57 | 25063
[02:36:07] [02:36:07] 7.108 | 29819 | 29893 | 53 | 25315
[02:36:07] [02:36:07] 7.12 | 31818 | 31197 | 46 | 24873
[02:36:07] [02:36:07] 7.13 | 28332 | 31592 | 40 | 24905
[02:36:07] [02:36:07] 7.143 | 31922 | 28921 | 58 | 25272
[02:36:07] [02:36:07] 7.155 | 30013 | 28912 | 50 | 25518
[02:36:07] [02:36:07] 7.168 | 28061 | 30911 | 46 | 24300
[02:36:07] [02:36:07] 7.18 | 31607 | 31873 | 49 | 24745
[02:36:07] [02:36:07] 7.193 | 31033 | 31861 | 40 | 25916
[02:36:07] [02:36:07] 7.205 | 29912 | 28549 | 60 | 25630
[02:36:07] [02:36:07] 7.218 | 28174 | 29991 | 59 | 24087
[02:36:07] [02:36:07] 7.231 | 30534 | 29564 | 45 | 25908
[02:36:07] [02:36:07] 7.243 | 31300 | 30088 | 48 | 25372
[02:36:07] [02:36:07] 7.255 | 31157 | 28948 | 54 | 25676
[02:36:07] [02:36:07] 7.268 | 30273 | 29810 | 57 | 24295
[02:36:07] [02:36:07] 7.281 | 30476 | 30267 | 46 | 24563
[02:36:07] [02:36:07] 7.293 | 31002 | 30556 | 41 | 24401
[02:36:07] [02:36:07] 7.305 | 29872 | 28803 | 58 | 25029
[02:36:07] [02:36:07] 7.318 | 29838 | 30732 | 53 | 24547
[02:36:07] [02:36:07] 7.331 | 29870 | 30873 | 48 | 25328
[02:36:07] [02:36:07] 7.343 | 29330 | 31270 | 50 | 25229
[02:36:07] [02:36:07] 7.354 | 30009 | 28012 | 45 | 24297
[02:36:07] [02:36:07] 7.367 | 28479 | 28066 | 55 | 24784
[02:36:07] [02:36:07] 7.379 | 29755 | 28544 | 45 | 24900
[02:36:07] [02:36:07] 7.392 | 28796 | 31052 | 56 | 24163
[02:36:07] [02:36:07] 7.404 | 31832 | 30407 | 45 | 25247
[02:36:07] [02:36:07] 7.417 | 30623 | 31476 | 57 | 25379
[02:36:07] [02:36:07] 7.43 | 28120 | 29644 | 60 | 25174
[02:36:07] [02:36:07] 7.442 | 28722 | 29217 | 40 | 24424
[02:36:07] [02:36:07] 7.453 | 31634 | 28453 | 41 | 25673
